"Story","Title","Result","Date","Stability","Duration (s)"
"Create Pet","Send a Request to create a Pet with invalid data","SUCCESS","2024-05-30T10:50:10.3082562-03:00[America/Buenos_Aires]","0.0","0.07"
"Update Pet","Send a Request to update a Pet with invalid data","SUCCESS","2024-05-30T10:50:10.4664662-03:00[America/Buenos_Aires]","0.0","0.05"
