"Story","Title","Result","Date","Stability","Duration (s)"
"Get Pet","Send a Request to get Pet details with an existing id","SUCCESS","2024-05-30T10:50:08.2036107-03:00[America/Buenos_Aires]","0.0","1.86"
"Get Pet","Send a Request to get Pet details with a non existing id","SUCCESS","2024-05-30T10:50:10.0693932-03:00[America/Buenos_Aires]","0.0","0.04"
"Create Pet","Send a Request to create a Pet with valid data","SUCCESS","2024-05-30T10:50:10.1132361-03:00[America/Buenos_Aires]","0.0","0.19"
"Create Pet","Send a Request to create a Pet with invalid data","SUCCESS","2024-05-30T10:50:10.3082562-03:00[America/Buenos_Aires]","0.0","0.07"
"Delete Order","Send a Request to Delete an order with a valid id","SUCCESS","2024-05-30T10:50:10.3814925-03:00[America/Buenos_Aires]","0.0","0.03"
"Update Pet","Send a Request to update a Pet with valid data","SUCCESS","2024-05-30T10:50:10.4146278-03:00[America/Buenos_Aires]","0.0","0.05"
"Update Pet","Send a Request to update a Pet with invalid data","SUCCESS","2024-05-30T10:50:10.4664662-03:00[America/Buenos_Aires]","0.0","0.05"
